ms;uA
10.0;467.5
20.0;470.2
30.0;472.2
40.0;470.0
50.0;469.0
60.0;469.9
70.0;474.2
80.0;470.29999999999995
90.0;471.79999999999995
100.0;470.0
110.0;469.7
120.0;470.0
130.0;467.79999999999995
140.0;470.4
150.0;469.9
160.0;470.0
170.0;470.0
180.0;472.2
190.0;469.5
200.0;471.4
210.0;470.0
220.0;467.9
230.0;471.5
240.0;470.5
250.0;470.0
260.0;470.2
270.0;472.9
280.0;470.0
290.0;472.7
300.0;470.09999999999997
310.0;470.0
320.0;1839.0
330.0;470.0
340.0;469.59999999999997
350.0;469.9
360.0;469.9
370.0;10650.0
380.0;469.9
390.0;470.0
400.0;470.0
410.0;470.5
420.0;470.29999999999995
430.0;475.09999999999997
440.0;469.9
450.0;470.0
460.0;469.79999999999995
470.0;473.0
480.0;468.0
490.0;469.9
500.0;472.9
510.0;470.79999999999995
520.0;477.0
530.0;470.9
540.0;470.29999999999995
550.0;475.2
560.0;468.79999999999995
570.0;472.4
580.0;469.7
590.0;470.09999999999997
600.0;469.7
610.0;471.0
620.0;473.7
630.0;470.5
640.0;468.5
650.0;469.7
660.0;470.0
670.0;469.9
680.0;469.9
690.0;474.4
700.0;469.7
710.0;472.2
720.0;469.9
730.0;471.9
740.0;472.9
750.0;466.7
760.0;10290.0
770.0;469.2
780.0;466.59999999999997
790.0;467.59999999999997
800.0;464.5
810.0;472.5
820.0;469.2
830.0;470.4
840.0;469.9
850.0;468.2
860.0;472.2
870.0;469.9
880.0;464.09999999999997
890.0;469.79999999999995
900.0;469.9
910.0;470.0
920.0;472.4
930.0;471.9
940.0;468.0
950.0;469.0
960.0;469.7
970.0;470.2
980.0;469.59999999999997
990.0;472.2
1000.0;471.9
1010.0;470.7
1020.0;468.5
1030.0;469.9
1040.0;472.2
1050.0;470.0
1060.0;469.4
1070.0;465.29999999999995
1080.0;467.9
1090.0;470.0
1100.0;468.29999999999995
1110.0;467.59999999999997
1120.0;469.9
1130.0;467.0
1140.0;470.0
1150.0;7629.0
1160.0;469.29999999999995
1170.0;470.7
1180.0;468.29999999999995
1190.0;468.9
1200.0;468.4
1210.0;469.0
1220.0;468.59999999999997
1230.0;469.2
1240.0;472.2
1250.0;468.0
1260.0;467.9
1270.0;466.2
1280.0;468.4
1290.0;469.9
1300.0;469.29999999999995
1310.0;468.9
1320.0;466.0
1330.0;466.09999999999997
1340.0;461.5
1350.0;469.4
1360.0;469.9
1370.0;469.5
1380.0;470.4
1390.0;472.5
1400.0;471.7
1410.0;471.2
1420.0;470.59999999999997
1430.0;470.7
1440.0;467.59999999999997
1450.0;471.29999999999995
1460.0;470.0
1470.0;470.4
1480.0;474.29999999999995
1490.0;472.29999999999995
1500.0;468.79999999999995
1510.0;470.29999999999995
1520.0;471.0
1530.0;472.79999999999995
1540.0;6522.0
1550.0;469.9
1560.0;468.2
1570.0;470.0
1580.0;470.0
1590.0;471.59999999999997
1600.0;471.7
1610.0;468.7
1620.0;470.29999999999995
1630.0;474.79999999999995
1640.0;470.7
1650.0;470.59999999999997
1660.0;469.09999999999997
1670.0;469.9
1680.0;467.0
1690.0;474.4
1700.0;470.09999999999997
1710.0;476.7
1720.0;474.5
1730.0;470.0
1740.0;472.9
1750.0;470.2
1760.0;474.9
1770.0;470.09999999999997
1780.0;470.9
1790.0;469.09999999999997
1800.0;472.09999999999997
1810.0;469.7
1820.0;470.9
1830.0;474.4
1840.0;472.9
1850.0;470.0
1860.0;470.5
1870.0;470.59999999999997
1880.0;468.5
1890.0;470.0
1900.0;472.2
1910.0;468.5
1920.0;471.2
1930.0;3111.0
1940.0;472.2
1950.0;469.9
1960.0;469.9
1970.0;472.59999999999997
1980.0;476.7
1990.0;472.29999999999995
2000.0;470.9
2010.0;471.0
2020.0;469.59999999999997
2030.0;469.9
2040.0;469.29999999999995
2050.0;472.09999999999997
2060.0;469.7
2070.0;468.4
2080.0;470.2
2090.0;470.7
2100.0;472.9
2110.0;473.2
2120.0;472.7
2130.0;472.5
2140.0;470.0
2150.0;470.79999999999995
2160.0;470.29999999999995
2170.0;467.79999999999995
2180.0;471.5
2190.0;474.2
2200.0;470.29999999999995
2210.0;467.79999999999995
2220.0;470.09999999999997
2230.0;472.4
2240.0;470.79999999999995
2250.0;467.9
2260.0;469.7
2270.0;472.2
2280.0;473.2
2290.0;470.79999999999995
2300.0;470.0
2310.0;475.9
2320.0;2863.0
2330.0;475.09999999999997
2340.0;469.79999999999995
2350.0;472.29999999999995
2360.0;471.4
2370.0;471.29999999999995
2380.0;473.4
2390.0;474.4
2400.0;472.09999999999997
2410.0;472.0
2420.0;469.9
2430.0;472.0
2440.0;472.29999999999995
2450.0;470.9
2460.0;470.0
2470.0;470.0
2480.0;466.2
2490.0;467.7
2500.0;469.09999999999997
2510.0;472.2
2520.0;470.0
2530.0;475.4
2540.0;469.2
2550.0;469.2
2560.0;470.2
2570.0;469.79999999999995
2580.0;470.29999999999995
2590.0;470.29999999999995
2600.0;469.79999999999995
2610.0;472.4
2620.0;472.2
2630.0;468.5
2640.0;469.7
2650.0;474.4
2660.0;467.59999999999997
2670.0;473.4
2680.0;467.79999999999995
2690.0;469.2
2700.0;469.9
2710.0;2860.0
2720.0;469.29999999999995
2730.0;469.5
2740.0;467.5
2750.0;469.79999999999995
2760.0;470.9
2770.0;470.09999999999997
2780.0;472.5
2790.0;470.4
2800.0;469.29999999999995
2810.0;472.29999999999995
2820.0;471.4
2830.0;469.9
2840.0;470.7
2850.0;469.2
2860.0;467.2
2870.0;470.4
2880.0;469.9
2890.0;468.2
2900.0;468.2
2910.0;468.5
2920.0;469.5
2930.0;469.9
2940.0;469.7
2950.0;472.2
2960.0;470.2
2970.0;477.2
2980.0;470.0
2990.0;470.09999999999997
3000.0;472.2
3010.0;470.59999999999997
3020.0;469.5
3030.0;472.59999999999997
3040.0;469.9
3050.0;469.2
3060.0;472.09999999999997
3070.0;470.0
3080.0;471.9
3090.0;472.5
3100.0;2857.0
3110.0;469.9
3120.0;467.9
3130.0;470.9
3140.0;469.2
3150.0;471.5
3160.0;469.9
3170.0;469.7
3180.0;469.79999999999995
3190.0;469.2
3200.0;470.09999999999997
3210.0;467.7
3220.0;470.09999999999997
3230.0;467.09999999999997
3240.0;471.7
3250.0;476.79999999999995
3260.0;468.5
3270.0;468.5
3280.0;470.0
3290.0;470.2
3300.0;470.2
3310.0;469.9
3320.0;472.29999999999995
3330.0;472.2
3340.0;469.9
3350.0;469.9
3360.0;467.7
3370.0;471.0
3380.0;467.5
3390.0;469.9
3400.0;469.59999999999997
3410.0;469.79999999999995
3420.0;471.79999999999995
3430.0;474.5
3440.0;472.2
3450.0;470.7
3460.0;467.7
3470.0;470.2
3480.0;469.79999999999995
3490.0;2860.0
3500.0;470.7
3510.0;473.0
3520.0;470.09999999999997
3530.0;471.5
3540.0;482.59999999999997
3550.0;472.29999999999995
3560.0;470.29999999999995
3570.0;472.9
3580.0;473.79999999999995
3590.0;471.09999999999997
3600.0;469.7
3610.0;467.29999999999995
3620.0;469.9
3630.0;467.9
3640.0;470.0
3650.0;470.7
3660.0;472.29999999999995
3670.0;474.5
3680.0;470.59999999999997
3690.0;465.4
3700.0;469.9
3710.0;469.4
3720.0;470.0
3730.0;470.79999999999995
3740.0;470.2
3750.0;470.79999999999995
3760.0;473.29999999999995
3770.0;468.59999999999997
3780.0;469.29999999999995
3790.0;469.9
3800.0;469.5
3810.0;469.79999999999995
3820.0;467.79999999999995
3830.0;472.29999999999995
3840.0;470.0
3850.0;468.29999999999995
3860.0;469.5
3870.0;470.7
3880.0;2862.0
3890.0;470.9
3900.0;473.0
3910.0;474.0
3920.0;467.79999999999995
3930.0;481.0
3940.0;469.2
3950.0;469.29999999999995
3960.0;467.5
3970.0;470.79999999999995
3980.0;471.9
3990.0;470.7
4000.0;469.2
4010.0;470.7
4020.0;476.7
4030.0;473.59999999999997
4040.0;470.7
4050.0;471.79999999999995
4060.0;469.9
4070.0;471.59999999999997
4080.0;470.59999999999997
4090.0;473.09999999999997
4100.0;470.79999999999995
4110.0;470.7
4120.0;470.09999999999997
4130.0;469.2
4140.0;471.0
4150.0;473.2
4160.0;470.09999999999997
4170.0;474.0
4180.0;467.7
4190.0;472.2
4200.0;471.79999999999995
4210.0;469.59999999999997
4220.0;467.5
4230.0;470.29999999999995
4240.0;3900.0
4250.0;470.7
4260.0;467.9
4270.0;2863.0
4280.0;469.2
4290.0;471.5
4300.0;471.4
4310.0;468.2
4320.0;696.1999999999999
4330.0;469.2
4340.0;470.0
4350.0;472.2
4360.0;469.7
4370.0;470.0
4380.0;475.09999999999997
4390.0;471.79999999999995
4400.0;470.0
4410.0;472.9
4420.0;471.9
4430.0;470.9
4440.0;468.79999999999995
4450.0;471.5
4460.0;470.9
4470.0;473.5
4480.0;470.9
4490.0;474.0
4500.0;470.79999999999995
4510.0;470.0
4520.0;470.7
4530.0;469.2
4540.0;469.9
4550.0;468.0
4560.0;473.0
4570.0;472.9
4580.0;472.9
4590.0;467.09999999999997
4600.0;467.0
4610.0;468.2
4620.0;468.0
4630.0;470.7
4640.0;470.0
4650.0;470.0
4660.0;2872.0
4670.0;470.9
4680.0;470.2
4690.0;471.9
4700.0;469.9
4710.0;4210.0
4720.0;472.59999999999997
4730.0;472.09999999999997
4740.0;474.59999999999997
4750.0;469.59999999999997
4760.0;466.7
4770.0;469.9
4780.0;470.5
4790.0;470.0
4800.0;469.9
4810.0;470.7
4820.0;472.2
4830.0;469.0
4840.0;470.2
4850.0;472.2
4860.0;475.2
4870.0;472.09999999999997
4880.0;467.29999999999995
4890.0;469.0
4900.0;466.4
4910.0;469.0
4920.0;469.2
4930.0;469.4
4940.0;471.9
4950.0;470.7
4960.0;471.0
4970.0;471.4
4980.0;468.7
4990.0;471.5
5000.0;470.5
5010.0;470.4
5020.0;475.5
5030.0;470.09999999999997
5040.0;471.4
5050.0;2861.0
5060.0;474.0
5070.0;470.0
5080.0;471.79999999999995
5090.0;470.0
5100.0;4349.0
5110.0;473.0
5120.0;470.0
5130.0;471.79999999999995
5140.0;469.9
5150.0;472.5
5160.0;470.2
5170.0;472.2
5180.0;470.9
5190.0;470.79999999999995
5200.0;470.0
5210.0;470.59999999999997
5220.0;470.0
5230.0;470.09999999999997
5240.0;471.5
5250.0;473.2
5260.0;472.29999999999995
5270.0;472.29999999999995
5280.0;470.2
5290.0;469.5
5300.0;472.9
5310.0;472.9
5320.0;472.2
5330.0;469.9
5340.0;468.5
5350.0;463.4
5360.0;470.29999999999995
5370.0;471.9
5380.0;467.59999999999997
5390.0;474.9
5400.0;472.9
5410.0;470.2
5420.0;469.79999999999995
5430.0;472.79999999999995
5440.0;2864.0
5450.0;474.4
5460.0;472.0
5470.0;470.5
5480.0;465.29999999999995
5490.0;5219.0
5500.0;472.2
5510.0;472.29999999999995
5520.0;472.4
5530.0;474.7
5540.0;470.09999999999997
5550.0;465.5
5560.0;473.4
5570.0;470.0
5580.0;470.5
5590.0;469.0
5600.0;470.2
5610.0;470.0
5620.0;472.5
5630.0;470.09999999999997
5640.0;470.0
5650.0;473.5
5660.0;469.79999999999995
5670.0;469.7
5680.0;472.4
5690.0;471.79999999999995
5700.0;471.5
5710.0;470.4
5720.0;472.59999999999997
5730.0;469.4
5740.0;470.79999999999995
5750.0;468.9
5760.0;469.59999999999997
5770.0;469.9
5780.0;469.2
5790.0;470.7
5800.0;471.09999999999997
5810.0;470.0
5820.0;472.2
5830.0;2867.0
5840.0;473.2
5850.0;475.29999999999995
5860.0;470.9
5870.0;472.2
5880.0;5278.0
5890.0;469.5
5900.0;474.7
5910.0;470.9
5920.0;469.9
5930.0;471.59999999999997
5940.0;467.79999999999995
5950.0;472.2
5960.0;470.59999999999997
5970.0;469.59999999999997
5980.0;472.5
5990.0;468.59999999999997
6000.0;475.9
6010.0;476.09999999999997
6020.0;471.29999999999995
6030.0;470.7
6040.0;469.2
6050.0;470.4
6060.0;470.79999999999995
6070.0;472.2
6080.0;470.0
6090.0;470.29999999999995
6100.0;468.09999999999997
6110.0;467.9
6120.0;472.5
6130.0;472.29999999999995
6140.0;470.0
6150.0;473.2
6160.0;472.2
6170.0;472.9
6180.0;469.9
6190.0;470.59999999999997
6200.0;469.9
6210.0;467.9
6220.0;2876.0
6230.0;467.7
6240.0;475.4
6250.0;471.79999999999995
6260.0;471.5
6270.0;5955.0
6280.0;470.29999999999995
6290.0;473.2
6300.0;468.0
6310.0;470.2
6320.0;476.0
6330.0;470.7
6340.0;472.2
6350.0;470.2
6360.0;469.9
6370.0;475.4
6380.0;475.9
