ms;uA
10.0;408.5
20.0;2768.0
30.0;407.4
40.0;404.0
50.0;403.4
60.0;401.09999999999997
70.0;405.9
80.0;403.2
90.0;405.5
100.0;409.7
110.0;406.2
120.0;403.09999999999997
130.0;405.5
140.0;404.2
150.0;401.9
160.0;409.59999999999997
170.0;406.2
180.0;409.79999999999995
190.0;406.2
200.0;410.4
210.0;5171.0
220.0;400.09999999999997
230.0;408.29999999999995
240.0;402.9
250.0;407.29999999999995
260.0;403.5
270.0;402.79999999999995
280.0;409.09999999999997
290.0;409.5
300.0;402.59999999999997
310.0;403.79999999999995
320.0;401.9
330.0;406.59999999999997
340.0;400.79999999999995
350.0;406.09999999999997
360.0;404.0
370.0;405.7
380.0;405.59999999999997
390.0;403.59999999999997
400.0;10130.0
410.0;404.0
420.0;407.2
430.0;409.0
440.0;408.5
450.0;404.59999999999997
460.0;406.29999999999995
470.0;407.5
480.0;403.2
490.0;404.79999999999995
500.0;401.09999999999997
510.0;404.29999999999995
520.0;404.29999999999995
530.0;400.4
540.0;404.7
550.0;405.29999999999995
560.0;404.59999999999997
570.0;405.2
580.0;407.7
590.0;402.59999999999997
600.0;400.7
610.0;409.79999999999995
620.0;409.09999999999997
630.0;409.2
640.0;407.09999999999997
650.0;408.79999999999995
660.0;408.7
670.0;408.09999999999997
680.0;402.9
690.0;410.0
700.0;405.5
710.0;408.79999999999995
720.0;401.79999999999995
730.0;409.0
740.0;401.7
750.0;406.79999999999995
760.0;402.7
770.0;407.7
780.0;403.29999999999995
790.0;404.5
800.0;407.4
810.0;406.5
820.0;402.0
830.0;408.4
840.0;402.29999999999995
850.0;406.9
860.0;406.4
870.0;406.4
880.0;372.5
890.0;407.0
900.0;407.0
910.0;408.2
920.0;406.0
930.0;409.5
940.0;406.5
950.0;407.5
960.0;410.7
970.0;406.0
980.0;409.09999999999997
990.0;407.7
1000.0;411.4
1010.0;411.0
1020.0;412.5
1030.0;403.09999999999997
1040.0;408.79999999999995
