ms;uA
10.0;14090.000000000002
20.0;6290.0
30.0;14130.000000000002
40.0;6311.0
50.0;6172.0
60.0;14200.000000000002
70.0;6364.0
80.0;14280.000000000002
90.0;6846.0
100.0;14240.000000000002
110.0;14360.000000000002
120.0;14110.000000000002
130.0;14360.000000000002
140.0;14250.000000000002
150.0;14760.000000000002
160.0;14440.000000000002
170.0;6230.0
180.0;6996.0
190.0;14200.000000000002
200.0;14180.000000000002
210.0;14320.000000000002
220.0;14640.000000000002
230.0;8358.0
240.0;14570.000000000002
250.0;6515.0
260.0;14720.000000000002
270.0;7901.0
280.0;6793.0
290.0;14130.000000000002
300.0;14560.000000000002
310.0;14360.000000000002
320.0;14360.000000000002
330.0;10080.0
340.0;14530.000000000002
350.0;9500.0
360.0;10100.0
370.0;14240.000000000002
380.0;6153.0
390.0;14260.000000000002
400.0;14560.000000000002
410.0;14210.000000000002
420.0;14110.000000000002
430.0;6165.0
440.0;6163.0
450.0;14170.000000000002
460.0;6460.0
470.0;14230.000000000002
480.0;6662.0
490.0;12660.000000000002
500.0;14470.000000000002
510.0;12150.000000000002
520.0;14070.000000000002
530.0;6474.0
540.0;14560.000000000002
550.0;14350.000000000002
560.0;14490.000000000002
570.0;14300.000000000002
580.0;6357.0
590.0;14200.000000000002
600.0;14560.000000000002
610.0;14300.000000000002
620.0;14560.000000000002
630.0;6226.0
640.0;15290.000000000002
650.0;14130.000000000002
660.0;14590.000000000002
670.0;14200.000000000002
680.0;8802.0
690.0;6031.0
700.0;6745.0
710.0;14500.000000000002
720.0;6784.0
730.0;14110.000000000002
740.0;6475.0
750.0;6996.0
760.0;14540.000000000002
770.0;6679.0
780.0;14260.000000000002
790.0;6563.0
800.0;14670.000000000002
810.0;6989.0
820.0;14210.000000000002
830.0;6664.0
840.0;6988.0
850.0;14480.000000000002
860.0;14400.000000000002
870.0;14620.000000000002
880.0;14720.000000000002
890.0;10040.0
900.0;14140.000000000002
910.0;6061.0
920.0;14190.000000000002
930.0;7478.0
940.0;6854.0
950.0;14310.000000000002
960.0;7006.0
970.0;13970.000000000002
980.0;6149.0
990.0;14570.000000000002
1000.0;14200.000000000002
1010.0;14090.000000000002
1020.0;14540.000000000002
1030.0;15460.000000000002
1040.0;14050.000000000002
1050.0;14610.000000000002
1060.0;14280.000000000002
1070.0;14300.000000000002
1080.0;6488.0
1090.0;14630.000000000002
