ms;uA
10.0;14390.000000000002
20.0;14170.000000000002
30.0;14160.000000000002
40.0;14260.000000000002
50.0;14320.000000000002
60.0;14640.000000000002
70.0;14600.000000000002
80.0;14320.000000000002
90.0;14290.000000000002
100.0;14230.000000000002
110.0;14720.000000000002
120.0;14720.000000000002
130.0;14570.000000000002
140.0;14630.000000000002
150.0;14620.000000000002
160.0;14290.000000000002
170.0;14190.000000000002
180.0;14220.000000000002
190.0;14280.000000000002
200.0;14510.000000000002
210.0;14240.000000000002
220.0;14280.000000000002
230.0;14390.000000000002
240.0;14410.000000000002
250.0;14100.000000000002
260.0;14370.000000000002
270.0;14600.000000000002
280.0;14360.000000000002
290.0;14390.000000000002
300.0;14240.000000000002
310.0;14260.000000000002
320.0;14600.000000000002
330.0;14550.000000000002
340.0;14560.000000000002
350.0;14250.000000000002
360.0;14280.000000000002
370.0;14080.000000000002
380.0;14380.000000000002
390.0;14530.000000000002
400.0;14590.000000000002
410.0;14240.000000000002
420.0;14320.000000000002
430.0;14090.000000000002
440.0;14320.000000000002
450.0;14590.000000000002
460.0;14480.000000000002
470.0;14330.000000000002
480.0;14290.000000000002
490.0;14260.000000000002
500.0;14560.000000000002
510.0;14550.000000000002
520.0;14240.000000000002
530.0;14300.000000000002
540.0;16430.0
550.0;14280.000000000002
560.0;14120.000000000002
570.0;14130.000000000002
580.0;14560.000000000002
590.0;14610.000000000002
600.0;14210.000000000002
610.0;14250.000000000002
620.0;14290.000000000002
630.0;14110.000000000002
640.0;14470.000000000002
650.0;14660.000000000002
660.0;14360.000000000002
670.0;14340.000000000002
680.0;14320.000000000002
690.0;14190.000000000002
700.0;14220.000000000002
710.0;14600.000000000002
720.0;14610.000000000002
730.0;14190.000000000002
740.0;14270.000000000002
750.0;14370.000000000002
760.0;14260.000000000002
770.0;14160.000000000002
780.0;14510.000000000002
790.0;14520.000000000002
800.0;14240.000000000002
810.0;14320.000000000002
820.0;14130.000000000002
830.0;14570.000000000002
840.0;14730.000000000002
850.0;14400.000000000002
860.0;14290.000000000002
870.0;14340.000000000002
880.0;14080.000000000002
890.0;14500.000000000002
900.0;14700.000000000002
910.0;14300.000000000002
920.0;14380.000000000002
930.0;14130.000000000002
940.0;14330.000000000002
950.0;14450.000000000002
960.0;14580.000000000002
970.0;14390.000000000002
980.0;14640.000000000002
990.0;14530.000000000002
1000.0;14170.000000000002
1010.0;14400.000000000002
1020.0;14400.000000000002
1030.0;14200.000000000002
1040.0;14100.000000000002
1050.0;14380.000000000002
1060.0;14590.000000000002
1070.0;14660.000000000002
1080.0;14480.000000000002
1090.0;14320.000000000002
1100.0;14050.000000000002
1110.0;14230.000000000002
1120.0;14760.000000000002
1130.0;14540.000000000002
1140.0;14340.000000000002
1150.0;14170.000000000002
1160.0;14300.000000000002
1170.0;14580.000000000002
1180.0;14580.000000000002
1190.0;14610.000000000002
1200.0;14620.000000000002
1210.0;14550.000000000002
1220.0;14230.000000000002
1230.0;14190.000000000002
1240.0;14310.000000000002
1250.0;14260.000000000002
1260.0;14450.000000000002
1270.0;14560.000000000002
1280.0;14570.000000000002
1290.0;14470.000000000002
1300.0;14360.000000000002
1310.0;14150.000000000002
1320.0;14350.000000000002
1330.0;14580.000000000002
