node_count,ping_interval,distance_cm,local_sent_packets,remote_received_packets,location
3,100,150,195,195,ground_truth
3,100,150,195,195,ground_truth
3,100,150,195,195,ground_truth
3,100,150,195,195,ground_truth
3,100,150,195,195,ground_truth
3,100,300,195,195,ground_truth
3,100,300,195,195,ground_truth
3,100,300,195,195,ground_truth
3,100,300,195,195,ground_truth
3,100,300,196,196,ground_truth
3,100,500,192,192,ground_truth
3,100,500,195,195,ground_truth
3,100,500,195,195,ground_truth
3,100,500,195,195,ground_truth
3,100,500,195,195,ground_truth
3,100,800,195,195,ground_truth
3,100,800,195,195,ground_truth
3,100,800,195,195,ground_truth
3,100,800,195,195,ground_truth
3,100,800,195,195,ground_truth
3,500,150,39,39,ground_truth
3,500,150,39,39,ground_truth
3,500,150,39,39,ground_truth
3,500,150,39,39,ground_truth
3,500,150,39,39,ground_truth
3,500,300,39,39,ground_truth
3,500,300,39,39,ground_truth
3,500,300,39,39,ground_truth
3,500,300,39,39,ground_truth
3,500,300,39,39,ground_truth
3,500,500,39,39,ground_truth
3,500,500,39,39,ground_truth
3,500,500,39,39,ground_truth
3,500,500,39,39,ground_truth
3,500,500,39,39,ground_truth
3,500,800,39,39,ground_truth
3,500,800,39,39,ground_truth
3,500,800,39,39,ground_truth
3,500,800,39,39,ground_truth
3,500,800,39,39,ground_truth
3,500,10000,39,39,ground_truth
3,500,10000,39,39,ground_truth
3,500,10000,39,39,ground_truth
3,500,10000,39,39,ground_truth
3,500,10000,39,39,ground_truth
3,500,13000,39,39,ground_truth
3,500,13000,39,39,ground_truth
3,500,13000,39,39,ground_truth
3,500,13000,39,39,ground_truth
3,500,13000,39,39,ground_truth
3,800,150,24,24,ground_truth
3,800,150,24,24,ground_truth
3,800,150,24,24,ground_truth
3,800,150,24,24,ground_truth
3,800,150,24,24,ground_truth
3,800,300,24,24,ground_truth
3,800,300,24,24,ground_truth
3,800,300,24,24,ground_truth
3,800,300,24,24,ground_truth
3,800,300,24,24,ground_truth
3,800,500,24,24,ground_truth
3,800,500,24,24,ground_truth
3,800,500,24,24,ground_truth
3,800,500,24,24,ground_truth
3,800,500,24,24,ground_truth
3,800,800,24,24,ground_truth
3,800,800,24,24,ground_truth
3,800,800,24,24,ground_truth
3,800,800,24,24,ground_truth
3,800,800,24,24,ground_truth
3,800,10000,24,24,ground_truth
3,800,10000,24,24,ground_truth
3,800,10000,24,24,ground_truth
3,800,10000,24,24,ground_truth
3,800,10000,24,24,ground_truth
3,800,13000,24,24,ground_truth
3,800,13000,24,24,ground_truth
3,800,13000,24,24,ground_truth
3,800,13000,24,24,ground_truth
3,800,13000,24,24,ground_truth
3,1300,150,15,15,ground_truth
3,1300,150,15,15,ground_truth
3,1300,150,15,15,ground_truth
3,1300,150,15,15,ground_truth
3,1300,150,15,15,ground_truth
3,1300,300,15,15,ground_truth
3,1300,300,15,15,ground_truth
3,1300,300,15,15,ground_truth
3,1300,300,15,15,ground_truth
3,1300,300,15,15,ground_truth
3,1300,500,15,15,ground_truth
3,1300,500,15,15,ground_truth
3,1300,500,15,15,ground_truth
3,1300,500,15,15,ground_truth
3,1300,500,15,15,ground_truth
3,1300,800,15,15,ground_truth
3,1300,800,15,15,ground_truth
3,1300,800,15,15,ground_truth
3,1300,800,15,15,ground_truth
3,1300,800,15,15,ground_truth
3,1300,10000,15,15,ground_truth
3,1300,10000,15,15,ground_truth
3,1300,10000,15,15,ground_truth
3,1300,10000,15,15,ground_truth
3,1300,10000,15,15,ground_truth
3,1300,13000,15,15,ground_truth
3,1300,13000,15,15,ground_truth
3,1300,13000,15,15,ground_truth
3,1300,13000,15,15,ground_truth
3,1300,13000,15,15,ground_truth
3,1300,16000,15,15,ground_truth
3,1300,16000,15,15,ground_truth
3,1300,16000,15,15,ground_truth
3,1300,16000,15,15,ground_truth
3,1300,16000,15,15,ground_truth
3,1300,21000,15,15,ground_truth
3,1300,21000,15,15,ground_truth
3,1300,21000,15,15,ground_truth
3,1300,21000,15,15,ground_truth
3,1300,21000,15,15,ground_truth
3,2100,150,9,9,ground_truth
3,2100,150,9,9,ground_truth
3,2100,150,9,9,ground_truth
3,2100,150,9,9,ground_truth
3,2100,150,9,9,ground_truth
3,2100,300,9,9,ground_truth
3,2100,300,9,9,ground_truth
3,2100,300,9,9,ground_truth
3,2100,300,9,9,ground_truth
3,2100,300,9,9,ground_truth
3,2100,500,9,9,ground_truth
3,2100,500,9,9,ground_truth
3,2100,500,9,9,ground_truth
3,2100,500,9,9,ground_truth
3,2100,500,9,9,ground_truth
3,2100,800,9,9,ground_truth
3,2100,800,9,9,ground_truth
3,2100,800,9,9,ground_truth
3,2100,800,9,9,ground_truth
3,2100,800,9,9,ground_truth
3,2100,10000,9,9,ground_truth
3,2100,10000,9,9,ground_truth
3,2100,10000,9,9,ground_truth
3,2100,10000,9,9,ground_truth
3,2100,10000,9,9,ground_truth
3,2100,13000,9,9,ground_truth
3,2100,13000,9,9,ground_truth
3,2100,13000,9,9,ground_truth
3,2100,13000,9,9,ground_truth
3,2100,13000,9,9,ground_truth
3,2100,16000,9,9,ground_truth
3,2100,16000,9,9,ground_truth
3,2100,16000,9,9,ground_truth
3,2100,16000,9,9,ground_truth
3,2100,16000,9,9,ground_truth
3,2100,21000,9,9,ground_truth
3,2100,21000,9,9,ground_truth
3,2100,21000,9,9,ground_truth
3,2100,21000,9,9,ground_truth
3,2100,21000,9,9,ground_truth
3,100,150,195,65,forest
3,100,150,195,84,forest
3,100,150,195,125,forest
3,100,150,195,95,forest
3,100,150,195,79,forest
3,100,300,195,85,forest
3,100,300,195,74,forest
3,100,300,195,71,forest
3,100,300,195,80,forest
3,100,300,196,90,forest
3,100,500,192,102,forest
3,100,500,195,88,forest
3,100,500,195,57,forest
3,100,500,195,92,forest
3,100,500,195,96,forest
3,100,800,195,0,forest
3,100,800,195,31,forest
3,100,800,195,0,forest
3,100,800,195,10,forest
3,100,800,195,0,forest
3,500,150,39,39,forest
3,500,150,39,38,forest
3,500,150,39,39,forest
3,500,150,39,38,forest
3,500,150,39,32,forest
3,500,300,39,35,forest
3,500,300,39,39,forest
3,500,300,39,36,forest
3,500,300,39,38,forest
3,500,300,39,36,forest
3,500,500,39,37,forest
3,500,500,39,8,forest
3,500,500,39,21,forest
3,500,500,39,35,forest
3,500,500,39,39,forest
3,500,800,39,31,forest
3,500,800,39,13,forest
3,500,800,39,27,forest
3,500,800,39,8,forest
3,500,800,39,11,forest
3,500,10000,39,37,forest
3,500,10000,39,33,forest
3,500,10000,39,35,forest
3,500,10000,39,35,forest
3,500,10000,39,12,forest
3,500,13000,39,24,forest
3,500,13000,39,0,forest
3,500,13000,39,10,forest
3,500,13000,39,8,forest
3,500,13000,39,14,forest
3,800,150,24,25,forest
3,800,150,24,24,forest
3,800,150,24,24,forest
3,800,150,24,25,forest
3,800,150,24,24,forest
3,800,300,24,25,forest
3,800,300,24,24,forest
3,800,300,24,25,forest
3,800,300,24,24,forest
3,800,300,24,24,forest
3,800,500,24,25,forest
3,800,500,24,24,forest
3,800,500,24,24,forest
3,800,500,24,6,forest
3,800,500,24,22,forest
3,800,800,24,16,forest
3,800,800,24,21,forest
3,800,800,24,12,forest
3,800,800,24,5,forest
3,800,800,24,23,forest
3,800,10000,24,17,forest
3,800,10000,24,8,forest
3,800,10000,24,3,forest
3,800,10000,24,11,forest
3,800,10000,24,11,forest
3,800,13000,24,11,forest
3,800,13000,24,17,forest
3,800,13000,24,7,forest
3,800,13000,24,9,forest
3,800,13000,24,14,forest
3,1300,150,15,16,forest
3,1300,150,15,16,forest
3,1300,150,15,16,forest
3,1300,150,15,16,forest
3,1300,150,15,16,forest
3,1300,300,15,16,forest
3,1300,300,15,16,forest
3,1300,300,15,16,forest
3,1300,300,15,16,forest
3,1300,300,15,16,forest
3,1300,500,15,11,forest
3,1300,500,15,15,forest
3,1300,500,15,10,forest
3,1300,500,15,16,forest
3,1300,500,15,16,forest
3,1300,800,15,14,forest
3,1300,800,15,1,forest
3,1300,800,15,4,forest
3,1300,800,15,12,forest
3,1300,800,15,10,forest
3,1300,10000,15,11,forest
3,1300,10000,15,6,forest
3,1300,10000,15,10,forest
3,1300,10000,15,4,forest
3,1300,10000,15,8,forest
3,1300,13000,15,2,forest
3,1300,13000,15,5,forest
3,1300,13000,15,5,forest
3,1300,13000,15,8,forest
3,1300,13000,15,8,forest
3,1300,16000,15,14,forest
3,1300,16000,15,16,forest
3,1300,16000,15,11,forest
3,1300,16000,15,12,forest
3,1300,16000,15,12,forest
3,1300,21000,15,2,forest
3,1300,21000,15,0,forest
3,1300,21000,15,0,forest
3,1300,21000,15,1,forest
3,1300,21000,15,0,forest
3,2100,150,9,10,forest
3,2100,150,9,10,forest
3,2100,150,9,10,forest
3,2100,150,9,10,forest
3,2100,150,9,10,forest
3,2100,300,9,9,forest
3,2100,300,9,10,forest
3,2100,300,9,10,forest
3,2100,300,9,10,forest
3,2100,300,9,10,forest
3,2100,500,9,8,forest
3,2100,500,9,10,forest
3,2100,500,9,10,forest
3,2100,500,9,10,forest
3,2100,500,9,10,forest
3,2100,800,9,6,forest
3,2100,800,9,5,forest
3,2100,800,9,7,forest
3,2100,800,9,8,forest
3,2100,800,9,2,forest
3,2100,10000,9,6,forest
3,2100,10000,9,10,forest
3,2100,10000,9,12,forest
3,2100,10000,9,4,forest
3,2100,10000,9,3,forest
3,2100,13000,9,1,forest
3,2100,13000,9,0,forest
3,2100,13000,9,0,forest
3,2100,13000,9,0,forest
3,2100,13000,9,2,forest
3,2100,16000,9,7,forest
3,2100,16000,9,10,forest
3,2100,16000,9,5,forest
3,2100,16000,9,10,forest
3,2100,16000,9,10,forest
3,2100,21000,9,4,forest
3,2100,21000,9,1,forest
3,2100,21000,9,4,forest
3,2100,21000,9,0,forest
3,2100,21000,9,0,forest
2,100,150,195,195,ground_truth
2,100,150,195,195,ground_truth
2,100,150,195,195,ground_truth
2,100,150,195,195,ground_truth
2,100,150,195,195,ground_truth
2,100,300,195,195,ground_truth
2,100,300,195,195,ground_truth
2,100,300,195,195,ground_truth
2,100,300,195,195,ground_truth
2,100,300,195,195,ground_truth
2,100,500,195,195,ground_truth
2,100,500,195,195,ground_truth
2,100,500,195,195,ground_truth
2,100,500,195,195,ground_truth
2,100,500,195,195,ground_truth
2,100,800,195,195,ground_truth
2,100,800,195,195,ground_truth
2,100,800,195,195,ground_truth
2,100,800,195,195,ground_truth
2,100,800,195,195,ground_truth
2,500,150,39,39,ground_truth
2,500,150,39,39,ground_truth
2,500,150,39,39,ground_truth
2,500,150,39,39,ground_truth
2,500,150,39,39,ground_truth
2,500,300,39,39,ground_truth
2,500,300,39,39,ground_truth
2,500,300,39,39,ground_truth
2,500,300,39,39,ground_truth
2,500,300,39,39,ground_truth
2,500,500,39,39,ground_truth
2,500,500,39,39,ground_truth
2,500,500,39,39,ground_truth
2,500,500,39,39,ground_truth
2,500,500,39,39,ground_truth
2,500,800,39,39,ground_truth
2,500,800,39,39,ground_truth
2,500,800,39,39,ground_truth
2,500,800,39,39,ground_truth
2,500,800,39,39,ground_truth
2,500,10000,39,39,ground_truth
2,500,10000,39,39,ground_truth
2,500,10000,39,39,ground_truth
2,500,10000,39,39,ground_truth
2,500,10000,39,39,ground_truth
2,500,13000,39,39,ground_truth
2,500,13000,39,39,ground_truth
2,500,13000,39,39,ground_truth
2,500,13000,39,39,ground_truth
2,500,13000,39,39,ground_truth
2,800,150,24,24,ground_truth
2,800,150,24,24,ground_truth
2,800,150,24,24,ground_truth
2,800,150,24,24,ground_truth
2,800,150,24,24,ground_truth
2,800,300,24,24,ground_truth
2,800,300,24,24,ground_truth
2,800,300,24,24,ground_truth
2,800,300,24,24,ground_truth
2,800,300,24,24,ground_truth
2,800,500,24,24,ground_truth
2,800,500,24,24,ground_truth
2,800,500,24,24,ground_truth
2,800,500,24,24,ground_truth
2,800,500,24,24,ground_truth
2,800,800,24,24,ground_truth
2,800,800,24,24,ground_truth
2,800,800,24,24,ground_truth
2,800,800,24,24,ground_truth
2,800,800,24,24,ground_truth
2,800,10000,24,24,ground_truth
2,800,10000,24,24,ground_truth
2,800,10000,24,24,ground_truth
2,800,10000,24,24,ground_truth
2,800,10000,24,24,ground_truth
2,800,13000,24,24,ground_truth
2,800,13000,24,24,ground_truth
2,800,13000,24,24,ground_truth
2,800,13000,24,24,ground_truth
2,800,13000,24,24,ground_truth
2,1300,150,15,15,ground_truth
2,1300,150,15,15,ground_truth
2,1300,150,15,15,ground_truth
2,1300,150,15,15,ground_truth
2,1300,150,15,15,ground_truth
2,1300,300,15,15,ground_truth
2,1300,300,15,15,ground_truth
2,1300,300,15,15,ground_truth
2,1300,300,15,15,ground_truth
2,1300,300,15,15,ground_truth
2,1300,500,15,15,ground_truth
2,1300,500,15,15,ground_truth
2,1300,500,15,15,ground_truth
2,1300,500,15,15,ground_truth
2,1300,500,15,15,ground_truth
2,1300,800,15,15,ground_truth
2,1300,800,15,15,ground_truth
2,1300,800,15,15,ground_truth
2,1300,800,15,15,ground_truth
2,1300,800,15,15,ground_truth
2,1300,10000,15,15,ground_truth
2,1300,10000,15,15,ground_truth
2,1300,10000,15,15,ground_truth
2,1300,10000,15,15,ground_truth
2,1300,10000,15,15,ground_truth
2,1300,13000,15,15,ground_truth
2,1300,13000,15,15,ground_truth
2,1300,13000,15,15,ground_truth
2,1300,13000,15,15,ground_truth
2,1300,13000,15,15,ground_truth
2,1300,16000,15,15,ground_truth
2,1300,16000,15,15,ground_truth
2,1300,16000,15,15,ground_truth
2,1300,16000,15,15,ground_truth
2,1300,16000,15,15,ground_truth
2,1300,21000,15,15,ground_truth
2,1300,21000,15,15,ground_truth
2,1300,21000,15,15,ground_truth
2,1300,21000,15,15,ground_truth
2,1300,21000,15,15,ground_truth
2,2100,150,9,9,ground_truth
2,2100,150,9,9,ground_truth
2,2100,150,9,9,ground_truth
2,2100,150,9,9,ground_truth
2,2100,150,9,9,ground_truth
2,2100,300,9,9,ground_truth
2,2100,300,9,9,ground_truth
2,2100,300,9,9,ground_truth
2,2100,300,9,9,ground_truth
2,2100,300,9,9,ground_truth
2,2100,500,9,9,ground_truth
2,2100,500,9,9,ground_truth
2,2100,500,9,9,ground_truth
2,2100,500,9,9,ground_truth
2,2100,500,9,9,ground_truth
2,2100,800,9,9,ground_truth
2,2100,800,9,9,ground_truth
2,2100,800,9,9,ground_truth
2,2100,800,9,9,ground_truth
2,2100,800,9,9,ground_truth
2,2100,10000,9,9,ground_truth
2,2100,10000,9,9,ground_truth
2,2100,10000,9,9,ground_truth
2,2100,10000,9,9,ground_truth
2,2100,10000,9,9,ground_truth
2,2100,13000,9,9,ground_truth
2,2100,13000,9,9,ground_truth
2,2100,13000,9,9,ground_truth
2,2100,13000,9,9,ground_truth
2,2100,13000,9,9,ground_truth
2,2100,16000,9,9,ground_truth
2,2100,16000,9,9,ground_truth
2,2100,16000,9,9,ground_truth
2,2100,16000,9,9,ground_truth
2,2100,16000,9,9,ground_truth
2,2100,21000,9,9,ground_truth
2,2100,21000,9,9,ground_truth
2,2100,21000,9,9,ground_truth
2,2100,21000,9,9,ground_truth
2,2100,21000,9,9,ground_truth
3,100,150,195,115,city
3,100,150,195,120,city
3,100,150,195,101,city
3,100,150,195,59,city
3,100,150,195,112,city
3,100,300,195,6,city
3,100,300,195,102,city
3,100,300,195,107,city
3,100,300,195,119,city
3,100,300,195,116,city
